x,y,z,success,pos_err,ori_err,cond,j0,j1,j2,j3,j4,j5,message
0.0500,-0.3000,0.0000,1,0.00000,0.00000,26.5,0.8569,1.7610,-0.0683,0.0641,-0.5344,0.0225,"Planning succeeded: pos_err=0.0000m, cond=26.5, min_dist=1.000m"
0.0500,-0.3000,0.0200,1,0.00000,0.00000,21.8,0.8572,1.6712,0.0335,0.0673,-0.5144,0.0060,"Planning succeeded: pos_err=0.0000m, cond=21.8, min_dist=1.000m"
0.0500,-0.3000,0.0400,1,0.00000,0.00000,18.5,0.8581,1.5812,0.1231,0.0759,-0.4750,-0.0003,"Planning succeeded: pos_err=0.0000m, cond=18.5, min_dist=1.000m"
0.0500,-0.3000,0.0600,1,0.00000,0.00000,16.0,0.8590,1.4915,0.2008,0.0890,-0.4191,0.0015,"Planning succeeded: pos_err=0.0000m, cond=16.0, min_dist=1.000m"
0.0500,-0.3000,0.0800,1,0.00000,0.00000,14.1,0.8590,1.4027,0.2680,0.1051,-0.3517,0.0094,"Planning succeeded: pos_err=0.0000m, cond=14.1, min_dist=1.000m"
0.0500,-0.3000,0.1000,1,0.00000,0.00000,12.6,0.8574,1.3156,0.3265,0.1217,-0.2793,0.0211,"Planning succeeded: pos_err=0.0000m, cond=12.6, min_dist=1.000m"
0.0500,-0.3000,0.1200,1,0.00000,0.00000,11.5,0.8542,1.2304,0.3791,0.1358,-0.2085,0.0340,"Planning succeeded: pos_err=0.0000m, cond=11.5, min_dist=1.000m"
0.0500,-0.3000,0.1400,1,0.00000,0.00000,10.7,0.8500,1.1469,0.4288,0.1445,-0.1456,0.0462,"Planning succeeded: pos_err=0.0000m, cond=10.7, min_dist=1.000m"
0.0500,-0.3000,0.1600,1,0.00000,0.00000,10.0,0.8458,1.0644,0.4781,0.1460,-0.0948,0.0563,"Planning succeeded: pos_err=0.0000m, cond=10.0, min_dist=1.000m"
0.0500,-0.3000,0.1800,1,0.00000,0.00000,9.5,0.8425,0.9819,0.5291,0.1401,-0.0587,0.0641,"Planning succeeded: pos_err=0.0000m, cond=9.5, min_dist=1.000m"
0.0500,-0.3000,0.2000,1,0.00000,0.00000,9.2,0.8406,0.8986,0.5824,0.1290,-0.0376,0.0703,"Planning succeeded: pos_err=0.0000m, cond=9.2, min_dist=1.000m"
0.0500,-0.3000,0.2200,1,0.00000,0.00000,9.0,0.8398,0.8138,0.6378,0.1168,-0.0298,0.0766,"Planning succeeded: pos_err=0.0000m, cond=9.0, min_dist=1.000m"
0.0500,-0.3000,0.2400,1,0.00000,0.00000,8.9,0.8397,0.7273,0.6940,0.1090,-0.0315,0.0846,"Planning succeeded: pos_err=0.0000m, cond=8.9, min_dist=1.000m"
0.0500,-0.3000,0.2600,1,0.00000,0.00000,8.9,0.8402,0.6388,0.7492,0.1105,-0.0379,0.0952,"Planning succeeded: pos_err=0.0000m, cond=8.9, min_dist=1.000m"
0.0500,-0.3000,0.2800,1,0.00000,0.00000,9.0,0.8409,0.5483,0.8013,0.1248,-0.0440,0.1083,"Planning succeeded: pos_err=0.0000m, cond=9.0, min_dist=1.000m"
0.0500,-0.3000,0.3000,1,0.00000,0.00000,9.1,0.8418,0.4557,0.8486,0.1520,-0.0455,0.1235,"Planning succeeded: pos_err=0.0000m, cond=9.1, min_dist=1.000m"
0.0500,-0.3000,0.3200,1,0.00000,0.00000,9.3,0.8421,0.3612,0.8899,0.1893,-0.0399,0.1395,"Planning succeeded: pos_err=0.0000m, cond=9.3, min_dist=1.000m"
0.0500,-0.3000,0.3400,1,0.00000,0.00000,9.6,0.8412,0.2652,0.9245,0.2319,-0.0256,0.1554,"Planning succeeded: pos_err=0.0000m, cond=9.6, min_dist=1.000m"
0.0500,-0.3000,0.3600,1,0.00000,0.00000,9.8,0.8380,0.1683,0.9518,0.2748,-0.0019,0.1700,"Planning succeeded: pos_err=0.0000m, cond=9.8, min_dist=1.000m"
0.0500,-0.3000,0.3800,1,0.00000,0.00000,10.1,0.8321,0.0717,0.9717,0.3138,0.0307,0.1820,"Planning succeeded: pos_err=0.0000m, cond=10.1, min_dist=1.000m"
0.0500,-0.3000,0.4000,1,0.00000,0.00000,10.3,0.8236,-0.0232,0.9841,0.3465,0.0705,0.1906,"Planning succeeded: pos_err=0.0000m, cond=10.3, min_dist=1.000m"
0.0500,-0.2800,0.0000,1,0.00000,0.00000,25.5,0.9201,1.7826,-0.0240,0.0662,-0.6380,0.0169,"Planning succeeded: pos_err=0.0000m, cond=25.5, min_dist=1.000m"
0.0500,-0.2800,0.0200,1,0.00000,0.00000,21.1,0.9206,1.6925,0.0803,0.0692,-0.6199,-0.0075,"Planning succeeded: pos_err=0.0000m, cond=21.1, min_dist=1.000m"
0.0500,-0.2800,0.0400,1,0.00000,0.00000,17.9,0.9217,1.6009,0.1728,0.0766,-0.5795,-0.0199,"Planning succeeded: pos_err=0.0000m, cond=17.9, min_dist=1.000m"
0.0500,-0.2800,0.0600,1,0.00000,0.00000,15.5,0.9231,1.5079,0.2530,0.0894,-0.5174,-0.0223,"Planning succeeded: pos_err=0.0000m, cond=15.5, min_dist=1.000m"
0.0500,-0.2800,0.0800,1,0.00000,0.00000,13.7,0.9238,1.4146,0.3207,0.1073,-0.4373,-0.0164,"Planning succeeded: pos_err=0.0000m, cond=13.7, min_dist=1.000m"
0.0500,-0.2800,0.1000,1,0.00000,0.00000,12.3,0.9227,1.3225,0.3772,0.1286,-0.3458,-0.0045,"Planning succeeded: pos_err=0.0000m, cond=12.3, min_dist=1.000m"
0.0500,-0.2800,0.1200,1,0.00000,0.00000,11.2,0.9187,1.2329,0.4249,0.1496,-0.2513,0.0106,"Planning succeeded: pos_err=0.0000m, cond=11.2, min_dist=1.000m"
0.0500,-0.2800,0.1400,1,0.00000,0.00000,10.4,0.9123,1.1461,0.4674,0.1663,-0.1621,0.0264,"Planning succeeded: pos_err=0.0000m, cond=10.4, min_dist=1.000m"
0.0500,-0.2800,0.1600,1,0.00000,0.00000,9.7,0.9049,1.0615,0.5083,0.1751,-0.0848,0.0405,"Planning succeeded: pos_err=0.0000m, cond=9.7, min_dist=1.000m"
0.0500,-0.2800,0.1800,1,0.00000,0.00000,9.3,0.8983,0.9777,0.5507,0.1739,-0.0241,0.0516,"Planning succeeded: pos_err=0.0000m, cond=9.3, min_dist=1.000m"
0.0500,-0.2800,0.2000,1,0.00000,0.00000,8.9,0.8940,0.8934,0.5966,0.1631,0.0178,0.0599,"Planning succeeded: pos_err=0.0000m, cond=8.9, min_dist=1.000m"
0.0500,-0.2800,0.2200,1,0.00000,0.00000,8.8,0.8920,0.8075,0.6466,0.1462,0.0411,0.0668,"Planning succeeded: pos_err=0.0000m, cond=8.8, min_dist=1.000m"
0.0500,-0.2800,0.2400,1,0.00000,0.00000,8.7,0.8919,0.7191,0.7001,0.1293,0.0489,0.0742,"Planning succeeded: pos_err=0.0000m, cond=8.7, min_dist=1.000m"
0.0500,-0.2800,0.2600,1,0.00000,0.00000,8.8,0.8923,0.6280,0.7550,0.1201,0.0465,0.0840,"Planning succeeded: pos_err=0.0000m, cond=8.8, min_dist=1.000m"
0.0500,-0.2800,0.2800,1,0.00000,0.00000,8.9,0.8926,0.5344,0.8085,0.1251,0.0406,0.0970,"Planning succeeded: pos_err=0.0000m, cond=8.9, min_dist=1.000m"
0.0500,-0.2800,0.3000,1,0.00000,0.00000,9.2,0.8924,0.4383,0.8584,0.1474,0.0367,0.1129,"Planning succeeded: pos_err=0.0000m, cond=9.2, min_dist=1.000m"
0.0500,-0.2800,0.3200,1,0.00000,0.00000,9.4,0.8914,0.3400,0.9028,0.1850,0.0384,0.1308,"Planning succeeded: pos_err=0.0000m, cond=9.4, min_dist=1.000m"
0.0500,-0.2800,0.3400,1,0.00000,0.00000,9.8,0.8890,0.2400,0.9408,0.2320,0.0478,0.1494,"Planning succeeded: pos_err=0.0000m, cond=9.8, min_dist=1.000m"
0.0500,-0.2800,0.3600,1,0.00000,0.00000,10.1,0.8843,0.1389,0.9716,0.2814,0.0664,0.1670,"Planning succeeded: pos_err=0.0000m, cond=10.1, min_dist=1.000m"
0.0500,-0.2800,0.3800,1,0.00000,0.00000,10.5,0.8770,0.0380,0.9945,0.3271,0.0945,0.1820,"Planning succeeded: pos_err=0.0000m, cond=10.5, min_dist=1.000m"
0.0500,-0.2800,0.4000,1,0.00000,0.00000,10.8,0.8669,-0.0613,1.0096,0.3654,0.1308,0.1932,"Planning succeeded: pos_err=0.0000m, cond=10.8, min_dist=1.000m"
0.0500,-0.2600,0.0000,1,0.00000,0.00000,24.7,0.9844,1.8099,0.0104,0.0562,-0.7415,0.0154,"Planning succeeded: pos_err=0.0000m, cond=24.7, min_dist=1.000m"
0.0500,-0.2600,0.0200,1,0.00000,0.00000,20.5,0.9874,1.7249,0.1180,0.0629,-0.7440,-0.0184,"Planning succeeded: pos_err=0.0000m, cond=20.5, min_dist=1.000m"
0.0500,-0.2600,0.0400,1,0.00000,0.00000,17.4,0.9905,1.6350,0.2159,0.0721,-0.7173,-0.0377,"Planning succeeded: pos_err=0.0000m, cond=17.4, min_dist=1.000m"
0.0500,-0.2600,0.0600,1,0.00000,0.00000,15.1,0.9938,1.5402,0.3025,0.0856,-0.6608,-0.0449,"Planning succeeded: pos_err=0.0000m, cond=15.1, min_dist=1.000m"
0.0500,-0.2600,0.0800,1,0.00000,0.00000,13.4,0.9969,1.4419,0.3760,0.1051,-0.5766,-0.0423,"Planning succeeded: pos_err=0.0000m, cond=13.4, min_dist=1.000m"
0.0500,-0.2600,0.1000,1,0.00000,0.00000,12.0,0.9982,1.3426,0.4355,0.1309,-0.4708,-0.0317,"Planning succeeded: pos_err=0.0000m, cond=12.0, min_dist=1.000m"
0.0500,-0.2600,0.1200,1,0.00000,0.00000,11.0,0.9955,1.2452,0.4821,0.1602,-0.3527,-0.0153,"Planning succeeded: pos_err=0.0000m, cond=11.0, min_dist=1.000m"
0.0500,-0.2600,0.1400,1,0.00000,0.00000,10.3,0.9878,1.1515,0.5192,0.1878,-0.2333,0.0038,"Planning succeeded: pos_err=0.0000m, cond=10.3, min_dist=1.000m"
0.0500,-0.2600,0.1600,1,0.00000,0.00000,9.6,0.9762,1.0621,0.5514,0.2080,-0.1227,0.0226,"Planning succeeded: pos_err=0.0000m, cond=9.6, min_dist=1.000m"
0.0500,-0.2600,0.1800,1,0.00000,0.00000,9.2,0.9638,0.9759,0.5832,0.2164,-0.0288,0.0385,"Planning succeeded: pos_err=0.0000m, cond=9.2, min_dist=1.000m"
0.0500,-0.2600,0.2000,1,0.00000,0.00000,8.8,0.9538,0.8907,0.6182,0.2111,0.0435,0.0504,"Planning succeeded: pos_err=0.0000m, cond=8.8, min_dist=1.000m"
0.0500,-0.2600,0.2200,1,0.00000,0.00000,8.6,0.9483,0.8043,0.6589,0.1935,0.0920,0.0589,"Planning succeeded: pos_err=0.0000m, cond=8.6, min_dist=1.000m"
0.0500,-0.2600,0.2400,1,0.00000,0.00000,8.5,0.9469,0.7151,0.7058,0.1689,0.1178,0.0657,"Planning succeeded: pos_err=0.0000m, cond=8.5, min_dist=1.000m"
0.0500,-0.2600,0.2600,1,0.00000,0.00000,8.6,0.9478,0.6224,0.7574,0.1464,0.1258,0.0734,"Planning succeeded: pos_err=0.0000m, cond=8.6, min_dist=1.000m"
0.0500,-0.2600,0.2800,1,0.00000,0.00000,8.8,0.9488,0.5260,0.8105,0.1370,0.1241,0.0842,"Planning succeeded: pos_err=0.0000m, cond=8.8, min_dist=1.000m"
0.0500,-0.2600,0.3000,1,0.00000,0.00000,9.1,0.9482,0.4266,0.8618,0.1484,0.1205,0.0988,"Planning succeeded: pos_err=0.0000m, cond=9.1, min_dist=1.000m"
0.0500,-0.2600,0.3200,1,0.00000,0.00000,9.5,0.9457,0.3244,0.9088,0.1815,0.1200,0.1171,"Planning succeeded: pos_err=0.0000m, cond=9.5, min_dist=1.000m"
0.0500,-0.2600,0.3400,1,0.00000,0.00000,10.0,0.9412,0.2201,0.9502,0.2304,0.1254,0.1376,"Planning succeeded: pos_err=0.0000m, cond=10.0, min_dist=1.000m"
0.0500,-0.2600,0.3600,1,0.00000,0.00000,10.4,0.9345,0.1145,0.9850,0.2858,0.1384,0.1584,"Planning succeeded: pos_err=0.0000m, cond=10.4, min_dist=1.000m"
0.0500,-0.2600,0.3800,1,0.00000,0.00000,10.9,0.9252,0.0088,1.0120,0.3389,0.1608,0.1771,"Planning succeeded: pos_err=0.0000m, cond=10.9, min_dist=1.000m"
0.0500,-0.2600,0.4000,1,0.00000,0.00000,11.3,0.9133,-0.0953,1.0306,0.3838,0.1923,0.1917,"Planning succeeded: pos_err=0.0000m, cond=11.3, min_dist=1.000m"
0.0500,-0.2400,0.0000,1,0.00000,0.00000,23.2,1.0480,1.7981,0.0406,0.0409,-0.7052,0.0294,"Planning succeeded: pos_err=0.0000m, cond=23.2, min_dist=1.000m"
0.0500,-0.2400,0.0200,1,0.00000,0.00000,19.8,1.0531,1.7422,0.1465,0.0473,-0.8009,-0.0226,"Planning succeeded: pos_err=0.0000m, cond=19.8, min_dist=1.000m"
0.0500,-0.2400,0.0400,1,0.00000,0.00000,17.0,1.0600,1.6712,0.2465,0.0594,-0.8367,-0.0521,"Planning succeeded: pos_err=0.0000m, cond=17.0, min_dist=1.000m"
0.0500,-0.2400,0.0600,1,0.00000,0.00000,14.7,1.0671,1.5856,0.3400,0.0747,-0.8194,-0.0648,"Planning succeeded: pos_err=0.0000m, cond=14.7, min_dist=1.000m"
0.0500,-0.2400,0.0800,1,0.00000,0.00000,13.0,1.0740,1.4883,0.4237,0.0945,-0.7561,-0.0653,"Planning succeeded: pos_err=0.0000m, cond=13.0, min_dist=1.000m"
0.0500,-0.2400,0.1000,1,0.00000,0.00000,11.8,1.0802,1.3832,0.4934,0.1217,-0.6535,-0.0572,"Planning succeeded: pos_err=0.0000m, cond=11.8, min_dist=1.000m"
0.0500,-0.2400,0.1200,1,0.00000,0.00000,10.8,1.0831,1.2753,0.5466,0.1574,-0.5216,-0.0422,"Planning succeeded: pos_err=0.0000m, cond=10.8, min_dist=1.000m"
0.0500,-0.2400,0.1400,1,0.00000,0.00000,10.2,1.0790,1.1698,0.5843,0.1982,-0.3743,-0.0217,"Planning succeeded: pos_err=0.0000m, cond=10.2, min_dist=1.000m"
0.0500,-0.2400,0.1600,1,0.00000,0.00000,9.6,1.0657,1.0702,0.6109,0.2356,-0.2269,0.0014,"Planning succeeded: pos_err=0.0000m, cond=9.6, min_dist=1.000m"
0.0500,-0.2400,0.1800,1,0.00000,0.00000,9.2,1.0461,0.9771,0.6326,0.2608,-0.0922,0.0233,"Planning succeeded: pos_err=0.0000m, cond=9.2, min_dist=1.000m"
0.0500,-0.2400,0.2000,1,0.00000,0.00000,8.8,1.0262,0.8889,0.6549,0.2683,0.0210,0.0410,"Planning succeeded: pos_err=0.0000m, cond=8.8, min_dist=1.000m"
0.0500,-0.2400,0.2200,1,0.00000,0.00000,8.6,1.0116,0.8021,0.6821,0.2573,0.1068,0.0535,"Planning succeeded: pos_err=0.0000m, cond=8.6, min_dist=1.000m"
0.0500,-0.2400,0.2400,1,0.00000,0.00000,8.4,1.0048,0.7135,0.7172,0.2307,0.1628,0.0613,"Planning succeeded: pos_err=0.0000m, cond=8.4, min_dist=1.000m"
0.0500,-0.2400,0.2600,1,0.00000,0.00000,8.5,1.0047,0.6205,0.7607,0.1967,0.1915,0.0669,"Planning succeeded: pos_err=0.0000m, cond=8.5, min_dist=1.000m"
0.0500,-0.2400,0.2800,1,0.00000,0.00000,8.7,1.0072,0.5227,0.8100,0.1691,0.2008,0.0734,"Planning succeeded: pos_err=0.0000m, cond=8.7, min_dist=1.000m"
0.0500,-0.2400,0.3000,1,0.00000,0.00000,9.0,1.0080,0.4206,0.8606,0.1621,0.2016,0.0838,"Planning succeeded: pos_err=0.0000m, cond=9.0, min_dist=1.000m"
0.0500,-0.2400,0.3200,1,0.00000,0.00000,9.5,1.0051,0.3150,0.9087,0.1833,0.2022,0.0995,"Planning succeeded: pos_err=0.0000m, cond=9.5, min_dist=1.000m"
0.0500,-0.2400,0.3400,1,0.00000,0.00000,10.0,0.9985,0.2066,0.9526,0.2290,0.2058,0.1200,"Planning succeeded: pos_err=0.0000m, cond=10.0, min_dist=1.000m"
0.0500,-0.2400,0.3600,1,0.00000,0.00000,10.6,0.9889,0.0962,0.9913,0.2880,0.2143,0.1432,"Planning succeeded: pos_err=0.0000m, cond=10.6, min_dist=1.000m"
0.0500,-0.2400,0.3800,1,0.00000,0.00000,11.2,0.9770,-0.0146,1.0229,0.3483,0.2303,0.1659,"Planning succeeded: pos_err=0.0000m, cond=11.2, min_dist=1.000m"
